activity1,activity2,corr,communities,cluster1,cluster2
# of PLWs with moderate acute malnutrition admitted for treatment,hk_ben,0.257,61,Nutrition,WASH
Risk education - MA1,# of pregnant and lactating women in NW Syria trained on family MUAC approach,0.257,43,Protection,Nutrition
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.257,43,Nutrition,Education
cholera_hp_rcce_iec,Ready to Eat Ration,0.257,30,WASH,FSL
# of PLWs with moderate acute malnutrition admitted for treatment,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.257,28,Nutrition,Education
# of mother to mother support groups established in line with the IYCF-E guidelines,swm_support_benf,0.257,27,Nutrition,WASH
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,pwd_beneficiaries,0.257,24,Nutrition,WASH
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,2.05.4 Provide children with learning materials such as NGO developed and SLP materials etc. (excluding textbooks)in non-formal settings,0.257,24,Nutrition,Education
Awareness raising through contact initiatives - GP2,"Mixed Food Items (MFIs, SFBs)",0.257,21,Protection,FSL
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,2.04.2 Provide children (5-24) with life skills and citizenship education programs in non-formal settings,0.257,21,Nutrition,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,hk_ben,0.256,69,Nutrition,WASH
hk_ben,1.9   Provide children with school water trucking,0.256,52,WASH,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),cholera_safe_water,0.256,45,Nutrition,WASH
Animal treatment/vaccination,1.02.1 Support the provision of formal education to children and youth,0.256,37,FSL,Education
# PLWs screened for malnutrition,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.256,30,Nutrition,Education
sew_rehab_repair,1.9   Provide children with school water trucking,0.256,29,WASH,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.256,23,Nutrition,Education
# of mother to mother support groups established in line with the IYCF-E guidelines,hp_ben,0.256,22,Nutrition,WASH
beneficiaries_toilets,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.256,21,WASH,Education
Food Baskets,Multipurpose cash,0.255,170,FSL,Cash
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,Ready to Eat Ration,0.255,86,Nutrition,FSL
# of children 6-59 months reached with HEB for 2 weeks,o_m,0.255,56,Nutrition,WASH
Awareness raising through contact initiatives - GP2,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.255,43,Protection,Education
Multipurpose cash,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.255,43,Cash,Education
hp_pwd_ben,Multipurpose cash,0.255,42,WASH,Cash
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),Seasonal and supplementary NFIs,0.255,39,Nutrition,SNFI
# PLWs screened for malnutrition,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.255,36,Nutrition,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months","2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.255,35,Nutrition,Education
Psychosocial support (PSS) - GP4,wq_testing,0.255,31,Protection,WASH
# of boys and girls (6 – 59 months) screened for malnutrition,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.255,30,Nutrition,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.255,25,Nutrition,Education
Bread/Flour distribution,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.255,25,FSL,Education
Multipurpose cash,1.02.1 Support the provision of formal education to children and youth,0.254,92,Cash,Education
"# of PLWs who received micronutrients including iron, folate  for six months",chlorination,0.254,72,Nutrition,WASH
Ready to Eat Ration,1.02.1 Support the provision of formal education to children and youth,0.254,66,FSL,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,o_m,0.254,64,Nutrition,WASH
# of boys and girls (6 – 59 months) screened for malnutrition,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.254,36,Nutrition,Education
Free Bread Distribution,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.254,30,FSL,Education
hk_ben,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.254,22,WASH,Education
Bread/Flour distribution,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.254,21,FSL,Education
# of children 6-23 months reached with LNS for four month,Ready to Eat Ration,0.253,76,Nutrition,FSL
# of boys and girls (6 – 59 months) screened for malnutrition,wq_testing,0.253,73,Nutrition,WASH
swm_support_benf,2.05.7 Provide children with recreational materials in formal settings,0.253,47,WASH,Education
"# of PLWs who received micronutrients including iron, folate  for six months",cholera_safe_water,0.253,45,Nutrition,WASH
# of children 6-59 months reached with HEB for 2 weeks,2.05.7 Provide children with recreational materials in formal settings,0.253,42,Nutrition,Education
# of caregivers with infants 0-6 months that are counselled on IYCF,hp_pwd_ben,0.253,31,Nutrition,WASH
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.253,31,Nutrition,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.253,31,Nutrition,Education
Case management and Referrals - GP5,Number of PLW reached with MAM treatment,0.253,30,Protection,Nutrition
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,1.13.2 Provide children with school bags in non-formal settings,0.253,26,Nutrition,Education
# of PLWs received HEB for 2 weeks,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.253,23,Nutrition,Education
des_beneficiaries,"Mixed Food Items (MFIs, SFBs)",0.253,22,WASH,FSL
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,wq_testing,0.252,63,Nutrition,WASH
Number of PLW reached with MAM treatment,des_beneficiaries,0.252,36,Nutrition,WASH
"# of PLWs who received micronutrients including iron, folate  for six months","2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.252,35,Nutrition,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",Cooked Meals,0.252,22,Nutrition,FSL
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",cholera_hp_rcce_iec,0.252,21,Nutrition,WASH
Food Baskets,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.251,63,FSL,Education
swm_support_benf,Animal treatment/vaccination,0.251,42,WASH,FSL
chlorin_cholera,Multipurpose cash,0.251,39,WASH,Cash
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,Cooked Meals,0.251,33,Nutrition,FSL
Number of PLW reached with MAM treatment,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.251,33,Nutrition,Education
